美金 (USD),29.82,30.362,30.12,30.22,
港幣 (HKD),3.716,3.911,3.836,3.896,
英鎊 (GBP),39.09,41.02,39.96,40.38,
澳幣 (AUD),22.86,23.52,23.05,23.28,
加拿大幣 (CAD),23.03,23.77,23.3,23.52,
新加坡幣 (SGD),21.69,22.47,22.11,22.29,
瑞士法郎 (CHF),29.53,30.59,30.06,30.35,
日圓 (JPY),0.2566,0.2676,0.263,0.267,
南非幣 (ZAR),-,-,2.09,2.17,
瑞典幣 (SEK),3.22,3.73,3.56,3.66,
紐元 (NZD),20.55,21.18,20.79,20.99,
泰幣 (THB),0.8078,0.9508,0.8963,0.9363,
菲國比索 (PHP),0.5364,0.6694,-,-,
印尼幣 (IDR),0.00188,0.00258,-,-,
歐元 (EUR),34.47,35.62,34.97,35.37,
韓元 (KRW),0.02537,0.02927,-,-,
越南盾 (VND),0.00096,0.00146,-,-,
馬來幣 (MYR),6.071,7.641,-,-,
人民幣 (CNY),4.465,4.627,4.537,4.587,
